Bound,Sample,Runtime (s),Efficiency
single,rwalk,120.11261010169983,4.400133052670068
multi,rwalk,124.09408807754517,4.400667168398999
balls,rwalk,154.15031099319458,4.337039144141639
single,slice,423.452082157135,1.2538769111334713
multi,slice,444.7863290309906,1.228161155916382
single,rslice,237.28041815757751,2.3366966887453007
multi,rslice,215.92674708366394,2.402579141310619
balls,rslice,213.0315978527069,2.3974584543801916
